stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,16,0,0,13,0,0,0,0,0,0,0,0,0
72hpf,2.54,0.28,8.46,20.57,4.23,0,0,0,0,0,0,0,0.28,0,1.97,9.58,1.13,7.05,0,0,21.42,10.99,0.28,0,552.42,0.56,0.28,1.97,0.28,0,0.28,0,0,0
21Day,1.11,0,5.55,6.29,3.7,0.37,0,0,0,0,0,0,0,0.37,0,2.22,1.11,9.62,0,0.37,2.96,1.11,0,0,164.27,1.85,0,0,0.37,0.74,0,0,0,0.37
3Month,0,0.1,1.77,0.83,0,0,0.21,0.1,0.62,0,1.14,0.52,0,0.52,0.21,2.29,0.73,5.82,7.49,0.31,0.1,0,0.21,0.21,4.26,0.1,6.66,0,0,0,0,0.31,1.98,0.42
22Month,0,0,0.27,0,0,0,0,0,0.14,0.27,2.46,0.27,0,0,0,0,0.14,0.96,0.14,0,0,0,0.27,0,0.41,0.14,2.05,0,0,0,0,0,0,0
