stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,0,0.56,0.28,1.13,0,0,0,0,0,0,0,0.28,0.28,0,0,16.07,1.13,0.28,0.28,0,0,0,0,0
21Day,0.74,0,0,0.37,0.37,0.37,0,0,0.37,0,0,0.37,0.74,0,1.85,0,4.81,1.11,0,0,0.74,0,0.37,0,0.37
3Month,0,0,0.31,0.1,0,0,0.21,0.21,0.42,0.1,0.21,0.1,0.21,0.1,0,0.1,0,0,0,0,0,0.42,0,3.64,0.52
22Month,0,0.41,0.27,0,0,0.14,0,0,0.55,0.27,0,0,0,0,0.68,0,0,0,0,0,0,0,0,0,0
