stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.41,0.56,1.13,0,0,0,0,0,0,0.85,0.28,0,0.28,0,0,8.46,15.78,0,0.56,1.13,0,0,115.84,0.28,0,0,0,0,0
21Day,1.48,0.74,1.85,0,0,0,0,0.37,0.37,0.37,0.74,0,0,0.37,0,4.81,7.03,0.37,0,0,1.48,0,74.74,0.74,1.11,0,0,0,0.37
3Month,0,0.31,0,0.42,0.1,1.14,0.31,0,0.73,0.1,0.21,0.94,0.1,0.1,1.04,0,0,0.31,0.21,0,0,0.62,1.04,0,0,0.31,0.1,31.62,0
22Month,0,0,0,0,0.14,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0.14,0,0.14,0,0,0
