stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,0.56,0,0.28,0,0,0,0,0,0,0,0,0,0.56,1.97,1.13,0.56,0,0,0,0,1.13,0.56,0,0,1.69,0,0,0.28,0,0.28,0,0,0
21Day,0.37,0,0.37,2.59,0,0.37,0,0,0,1.11,0,0.37,0.37,0.74,1.11,1.85,2.59,0,0,0.37,0,1.48,0.37,0,0,0.74,0,0,0,0.37,0,0,0,0
3Month,0,0.94,1.04,11.55,0.31,0.52,1.56,0.52,0.21,19.24,0.31,1.04,5.62,1.66,3.12,12.17,3.12,0.31,0,0,1.14,1.14,0.1,1.14,0.52,0.21,0.31,2.7,0.1,0,0.1,0.73,1.35,2.08
22Month,0,3.01,0.41,6.7,0.27,0.14,1.09,2.05,2.32,37.72,0.96,1.64,5.19,0.14,0.68,11.48,1.09,0,1.91,0,0,0.27,0.27,1.23,0.55,0,0.27,0.82,0.55,0,0,0.55,0,1.09
