stage,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Keratinocyte,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_pigment_epithelial_cell
72hpf,0,0,0,0,0.28,0.56,0.28,0,0.28
21Day,0.37,1.48,0.37,0,0.74,0,0,0.74,0
22Month,0,0,0,0.41,0,0,0,0,0
