stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
24hpf,0,8,0,0,0,0,1,1,11,0,4,77,1,0
72hpf,0,0.28,0.28,0,0,0.28,0.85,0.28,1.41,1.41,0.56,1.69,0.56,0.56
21Day,0.74,0.37,0,0.37,0.37,0,0,0.37,2.22,0,0,0,1.11,0
