stage,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Macrophage,Mesenchymal_cell,Neural_cell
3Month,0,0,0,0.1,0.1,0.21,0,0,0.52
22Month,0.14,0.14,0.14,0,1.91,0,0.14,0.14,0.68
