stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,1,0,0,0,0,0,0
72hpf,0.56,0.56,0.28,0,0,0,0,0,0,0,0.28,0.28,0.85,0,0,0,0.85,0.56,0.85,0,0,0,0,0,0
21Day,0.37,2.59,0,0,0,0,0,0,0,0,0.37,0,1.85,0,0,0,0.37,0.74,1.11,0,0,0,0,0,0.37
3Month,0,1.56,0.62,0.1,0.31,0,0.21,0.1,0.31,0,1.04,0.31,0.52,0.1,0,0.1,0.1,0,0,0.1,0.73,0,2.81,0.52,0.1
22Month,0.14,2.19,0,0,0.96,0.14,4.37,0.14,0.27,0.14,0,1.91,1.23,0,0.27,0.14,0,0.27,0.14,0,0.14,0.14,0.27,0,0.14
