stage,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Neural_progenitor_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,2,0,0
72hpf,0,0,0.56,0,0,0,0,0,0,0,0,0
21Day,0,0.37,15.54,11.47,0,0,0,0.37,0,0.37,0,0.37
3Month,0.1,0,0,0.1,0.21,0,0.1,0,0,0,0,0.1
22Month,0,0,0,0,0,0.14,0.68,0,0.14,0,0.14,0
