stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,3,0,8,0,1,0,0,0,0,1,0,0,0,0,2,4,6,0,21,786,2,0,0,0,0,0,0,0,0,0,0
72hpf,6.48,1.13,4.23,0.56,6.2,0,0,0.28,0,0,0,0,0,0.85,9.58,1.41,6.48,0,659.52,164.6,0.56,1.69,9.3,0.56,0,14.66,2.25,1.69,0.28,0,0
21Day,1.11,0.37,5.92,0,5.92,1.11,0,0,0,0,0.74,0.74,1.11,0,2.96,0.74,3.7,0.37,158.35,49.21,0,1.11,2.96,4.81,0,4.44,12.21,18.5,0.37,0,1.11
3Month,0,0,0.21,0,0,0,0.1,0,0,0,0.1,0,0.1,0,0,0,0,0,8.22,0.52,0.1,0,0,0,0.42,0,0.1,0,0,0.1,0.1
22Month,0,0,0,0,0,0,0,0,0.14,0,1.09,0.14,0,0,0,0,0.14,0,4.65,0.55,0.41,0.82,0,0,0.68,0.55,5.88,0,0,0,0
