stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,16,0,0,2,0,0,0,0,0,0,0
72hpf,1.13,0,0,0.28,1.13,0.56,0,0,0,0.28,0,0,0.85,3.1,0.28,1.69,0,0,0,152.76,3.38,0.28,0.28,1.69,0,0,1.97,0,0.28,0,0
21Day,0.37,0,0.37,3.33,1.11,0.74,0.37,0,0,0,0,0.74,1.48,2.96,0.74,1.85,0,0.37,0.37,48.84,2.22,0.37,1.11,0.37,2.22,0,1.11,0.37,0,0,0
3Month,0,0,0,0.52,0,0,0,0,0,0.1,0.21,0.31,0.31,0,0.21,0.1,0.1,0,0,0.31,0.21,0.1,0,0,0,0.62,0,0,0,0.62,0.1
22Month,0,0.27,0,0.14,0,0,0,0.14,0,2.87,0.14,0.14,0,0,0,0.14,0.14,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0
