stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,3,179,0,0,0,0,0,0,3,0,0,0
72hpf,4.79,1.13,0,2.82,10.15,3.1,0,0,0,0.56,0,0,0,0,1.41,5.92,1.69,40.59,0,0,0,363.02,243.8,13.25,0,0,3.95,3.1,2.25,8.74,0,0,0
21Day,1.11,0,0.37,3.33,1.11,5.18,0,0.37,0,0.37,0,0,1.11,0.74,0.37,4.44,0.37,36.26,0,1.48,0,105.82,50.32,5.18,1.48,0,2.22,1.11,1.11,4.07,0,0,0
3Month,0,0.1,0.21,4.99,0.31,0,0.1,0,0.1,0.94,1.46,0.42,0,0.73,0.1,1.46,0.1,8.84,20.08,0.31,0.21,2.6,1.56,0,0.1,0.52,1.98,0.1,0,1.25,0.1,0.52,0.21
22Month,0,0,0,0.55,0,0,0,0.14,0,0.27,2.6,0.27,0,0.41,0,0,0,6.15,3.55,0.41,0,2.87,0.14,0,0,3.28,9.02,0,0,0.14,0.14,0,0.27
