stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
72hpf,0.28,0,0.28,0,0,0,0,0,0,0.85,0,0.28,0,0.28,1.69,0.28,0,0,0
21Day,0.37,0.37,1.11,0,0,0,0,0,0,0.37,0,0.37,0,0,0,0.74,0,0,0
3Month,0,0,0.42,0.1,0.1,0.1,2.6,0.62,0.1,1.04,0.1,0.73,0.1,0,0,0,0.31,2.6,0.62
22Month,0,0,0,0,0,0,0.96,0.41,0,0,0,0,0,0,0,0,0,0,0
