stage,Endothelial_cell,Epithelial_cell__Brain_,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell
24hpf,0,0,0,0,1,0,1,0
72hpf,0,0.28,0,0,0.56,0.56,0.28,0
21Day,0,0,0,0,0,0.74,0,0
3Month,0.1,0,0.94,0.1,0.1,0,0,0.1
22Month,0,0,0.82,0.14,0.14,0,0,0.27
