stage,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.85,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0.28,0,0,0,0,0,0,0.28,0,0,0
21Day,0,2.96,0.74,0,0,0,0,0,0,0,0,0,0.74,0,0.37,2.96,0,0,0,0,0,0,0.37,0,0,0,0,0
3Month,0.1,26,0,0,0.1,0.31,0.31,1.77,0.21,0,1.14,2.29,12.27,0.1,0.42,6.97,0.31,0.1,1.14,0.21,0.1,0.42,3.02,0.1,0,3.74,1.66,0.42
22Month,0,10.11,0,0.41,0,0.27,0.55,2.19,0.27,0.14,0.55,0.68,3.69,0.41,0.55,2.46,0,0,0.82,0,0,0,2.19,0,0,0.82,0,0.14
