stage,Cardiomyocyte,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
24hpf,1,0,0,0,0,0,0,0,0,5,0,1,24,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0.28,0,0.85,0,8.17,1.69,0,0.56,0,0.28,0
21Day,0.74,1.48,0.37,0,0,0,0,0.37,0,2.22,0,1.48,1.11,0.37,1.11,0,0,0
3Month,0,0.21,0,0.1,1.46,0.21,0.21,0.1,0.1,0.52,0,0,0,0.1,0,0.1,0,0
22Month,0,0,0,0,0.82,0,0.27,0,0,0.14,0.14,0,0,0,0,0.14,0,0.14
