stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,1,0,0,0,0,0,0,0,1,0,2,99,0,0,1,0,0,0,0,0
72hpf,0.56,0.28,0,1.13,0,0,0,0.56,0.56,0.28,0,37.49,42.84,0.28,1.41,1.97,0,19.17,0,0,0
21Day,0.74,0,0.74,1.85,0.37,0,0.37,0,0.37,0.74,0.37,13.32,20.35,0,1.11,0.74,1.11,11.84,0.74,0.37,0.37
22Month,0,0,0.14,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
