stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
24hpf,0,0,0,0,0,0,0,0,1,0,1,10,0,0
72hpf,0,0,0.56,0,0,0,0,0.28,0.28,0.85,0.56,1.13,0.85,0
21Day,0.37,0.37,0.37,0.37,0,0,0.37,0,0.37,1.48,0.74,0.37,0,0.37
3Month,0,0,0,0,0.21,0,0,0,0,0.1,0,0,0,0
22Month,0,0,0,0,0.14,0.14,0,0,0,0,0,0,0,0
