stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
72hpf,0.56,0,0,0,0,0.28,0,0.56,0,0,8.46,0.28,0,0,1.13,0,0.28,0,0
21Day,0.74,0,0,0.37,0.37,0.74,0.37,0.37,0,0,2.22,0,1.11,0,0.37,0.37,0,0.37,0
3Month,0.21,0.1,1.04,0,0.1,0,0,0.1,0.1,0.1,0,0,0.1,0,0.1,0,0,0,0.1
22Month,0,0,0.55,0,0.27,0,0,0,0,0,0,0,0,0.14,0,0,6.56,0,0
