stage,Cardiomyocyte,Erythrocyte,Neural_cell,Neural_progenitor_cell,Pancreatic_cell
24hpf,6,0,0,1,0
72hpf,3.1,0,1.69,0,0
21Day,2.59,0.37,0,0,0.74
