stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Radial_glia
24hpf,2,0,0,4,0,0,0,0,1,0,0,0,0,1,1,1,0,0,37,0,0,1,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0,0,0.28,0,0,0,0.28
22Month,0,0.82,0.27,1.5,0.14,0.14,0.14,0.27,0,10.8,0.82,0.14,0,0.14,0.14,0.55,0.27,0.68,0,0.14,15.85,0,0
