stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,4,1,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0.56,0,1.69,0,0,0,0,0,0,1.13,0.85,0.56,0.28,0,0.28,0,0,0.28,0,0,0
21Day,0.74,0.74,0,0,0,0,0,0,0,1.48,0,0.37,0,0,0,0,0.37,0,0,0.37,0.37,0,0.37,0,0,0,0,0,0
3Month,0.73,1.98,0,0,2.5,0.21,2.39,0.52,0.1,10.4,0.1,0.21,0.31,0.21,0.1,0,2.7,0,0,0,0.52,0.1,0.1,0.21,0.52,0,0.1,0.31,0.31
22Month,0.27,0.68,0,0.14,0.55,0,3.69,0.14,0,11.34,0,0,0.27,0,0,0.14,0.82,0,0,0,0,0,0,0,0.14,0,0,0,0
