stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,1,2,0,3,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,1.69,0,0,0,0,0,0,0,0,1.13,6.48,0.85,0,0,0,0,0.56,0,0,0,0.56,0,0,0,0
21Day,0,0.37,0,4.07,0,0.37,0,0,0.37,0,0.37,0,1.85,5.18,0.37,0.37,0,1.11,0,0.37,0,0,0,0.37,0,0,0.37,0
3Month,0,0.31,0.52,12.07,0.1,0,2.91,0.42,3.95,0.1,0,2.5,0.73,7.07,1.25,0.62,0.31,2.08,0.62,0.1,0,0.1,0,0.1,0.1,0.31,0,0.42
22Month,0,0.41,0,2.46,0.14,0,1.23,0.41,8.06,0.41,0,3.69,0,2.05,1.37,0.68,0,0.96,0,0.14,0,0.14,0.14,0,0,0.27,0,0.41
