stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,19,0,0,0,0,0,0,0,0,21,0,0,0,0,3,13,11,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,5.36,0,0.28,0,0,0,0,0.28,0,0,0,0,1.13,0,1.97,12.68,0,1.41,0,0.28,0,4.79,1.97,0,0.28,0,0.28,0,0,0.56,0,0.28,0,0,0
21Day,1.11,0,1.48,36.63,0,0,0,0.74,0,1.11,0,0,0,0.37,0,1.48,0.74,1.85,9.62,5.55,3.7,0.37,0,0.74,3.7,1.85,0,0.74,0,1.48,0.74,0,2.59,0.37,0,0,0,3.33
3Month,0.52,0.62,6.45,58.15,0.1,0,0.42,0,0.1,60.64,2.29,0,0,5.1,1.98,1.25,40.15,1.56,1.87,7.59,2.81,0.62,0,1.04,0.83,0.21,1.14,2.7,0,0.1,1.04,3.02,4.99,0,0.1,0.21,1.25,20.49
22Month,0,0.41,7.93,9.29,0,0,0.41,0,0,10.11,3.14,0.14,0,5.33,0.14,2.46,26.78,1.09,0.41,8.61,1.09,0,0.27,0.41,0.41,0.27,0.55,4.92,0.41,0.14,0.41,2.87,6.83,0.27,0,0,0,4.65
