stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,1,0,0,0,0,0,1,5,0,1,10,0,0,0,0
72hpf,0,0.28,0,0,0,0.28,0.28,0,1.41,0.28,0.85,0.56,0.85,0,0.28,0
21Day,0.37,0,0,0.37,0.37,0,0.37,0,0,0.37,1.48,0,1.48,0,0,0
3Month,0,0,0.1,0,0.1,0.1,0,0,0,0,0,0,0,0.31,0,0.1
22Month,0,0,0,0,0.68,0,0,0,0.14,0,0,0,0,0.27,0,0
