stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,2,0,0,0,0,0,0,0,0,2,3,0,0,0,25,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,1.13,0,0.28,0,0,2.54,1.97,0,0,0,0,0,0,0,0
21Day,1.48,1.48,0.37,2.22,0,0,0,0.74,0,0.37,0,0.37,0.37,0,2.96,3.33,0,0.37,0,0,0,0.37,0,0.37
3Month,0,0.21,0,0,0.42,0.1,8.22,0,0.62,0.52,0.1,0.21,0.21,0.1,0,0,0.1,0,0.62,0.83,0.21,0,0.62,0.1
22Month,0,0.14,0,0,0,0,0.96,0,0.68,0,0,0.14,0,0,0,0,0.14,0,0,0,0.14,0,0,0
