stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,2,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,1.69,20.57,0,0.28,0.28,0,0,3.1,0.85,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0.37,0,24.42,0.37,0.37,0,0,0.74,0,0,0.37,0,0,0.74,1.85,10.36,0,0,0,0,0,0.74,0,0,3.33,0,0.37,0.37,0,0.37,0.37,0,0,0.74
3Month,0,0.21,0.73,21.32,0.21,0,0.21,0.1,3.12,3.33,0,1.87,7.59,0.52,5.82,3.74,0.52,4.68,0.52,0.1,1.04,0.42,2.5,0,1.04,0.83,0,0,0.1,0.83,0,0,0.21,1.14,1.66
22Month,0.27,0.27,0.68,4.37,0,0,0,0.14,2.05,2.05,0,5.47,4.92,0.41,7.24,0.55,0.14,2.05,0.14,0,0.96,0,0.68,0,0.68,0.41,0.14,0,0.14,0,0,0,0,0,0.27
