stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,3,0,1,0,0,0,0,0
72hpf,0.28,0,0,0.85,0,0,0,0,0,0,0.28,0,1.41,0,0,0,0.28,0.28,0,1.69,0,0.28,0.28,0,0
21Day,0,0.37,0,0.74,0,0,0,0,0,0,0,0,5.55,0,0,0,0.37,0,0.37,1.85,0,0,0.37,0,0.37
3Month,0,0.1,0,0.62,0.1,0,0.1,0.42,0.31,0,0,0.21,1.98,0.31,0,0.1,0,0.1,0.1,0,0.73,0,0,0.1,0.1
22Month,0,0,0.14,0.27,0,0.27,0.27,3.96,0,0.82,0,0,0.27,0.41,0.27,0,0,0,0,0,0,0,0,0.14,0
