stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,2,4,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,3,362,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,0,0.85,8.46,0.28,0,0,0,0.28,0,0,0,0.28,9.02,0.28,1.41,0,0,0,0,78.92,35.79,1.69,1.13,0.28,0.28,0,10.99,1.13,0.28,0.85,0,0,0
21Day,1.11,0,1.11,2.59,1.11,0,0,0,0.37,0,0,0.37,0,2.96,0,2.96,0,0,0,0,24.42,17.76,0,2.22,0,0.74,0,7.77,3.33,3.33,0.74,0,0,0
3Month,0,0.1,1.56,0.42,0,0.42,0.31,0,1.87,8.43,0.1,0.83,0,1.04,0.31,1.46,0.21,0.1,0.31,0.21,1.98,0.31,0.94,0.52,0,0.21,4.89,0.31,0,0,0.21,0.1,0.42,0.1
22Month,0,0.14,0.41,0.27,0,0.41,0.27,0,4.92,0.55,0,0.96,0,0.27,0.27,0.41,0,0.14,0,0,0.68,0,0.82,0.68,0.14,0,2.73,0.41,1.64,0,0.27,0,0,0
