stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Fibroblast,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,8,0,0,0,0,0,0,0,0
72hpf,0.56,0,0.56,0,0,0,0,0,0,0.56,0.56,19.17,0,0,31.85,4.79,0,7.33,0,0.56,0,0,0,0
21Day,0.37,0.37,1.11,0,0,0,0,0,0,0.37,0.37,17.76,0,0,8.88,1.48,0,15.17,0,0,0.37,0,0,0
3Month,0,0.31,0,0.94,0.62,1.77,0.42,0.21,0.42,0.1,1.04,12.07,7.49,0.1,0.52,0.21,0,0,0.94,0,0,0.21,0.21,0.1
22Month,0,0,0,0,0.27,0.82,0,0.14,0,0,0,2.05,0,0,0,0,0.14,0,0,0,0,0,0,0
