stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
72hpf,1.13,0.56,0,0.56,27.62,0.85,0,0,0,0,0,0,0,0,0,0.28,16.91,0,1.97,0,0,0,0,10.15,9.86,0.28,0,1.41,0.28,0,1.13,0,0,0
21Day,0,0.37,0,2.59,4.07,1.48,0,0,0,0,0,0,0,0,0.37,0,1.85,0.37,1.11,0,0,0,0,0.74,1.11,0,0,1.85,0.74,0,0,0,0,0
3Month,0.21,0.62,0.21,46.91,2.5,0,0.1,0.1,1.77,0.52,0,4.89,0.52,0,3.54,0.31,24.34,0.83,1.04,0.31,0,0.1,0.1,0.62,0.31,0.42,2.39,0.62,1.04,1.87,0,0.62,4.06,0.83
22Month,0.14,1.09,0.55,15.3,0.14,0,0.14,0,1.09,0.68,0.14,11.34,0.68,0.27,10.93,0.14,5.88,1.64,2.6,0,0.14,0.41,0.14,0,0,0.27,3.69,0,0.41,4.78,0,0.14,0,1.5
