stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,20.72,0,0.74,0,0,0,0,0,0,0,0,0,6.29,0,0.37,0,0,0,0.37,0.37,0,0,0.74,0,0,0,0.37
3Month,0,0.1,0,34.33,0.1,0,0.21,0.31,0.52,0,2.39,1.04,0,0.83,2.29,3.33,0.62,0.42,0,0.62,1.14,0.1,0.1,0.1,0.21,0,0.83,0.1,0.31,0.52
22Month,0.14,0,0.41,21.86,0,0,0,0.41,0.27,0.14,2.87,0.27,0.27,0.27,0.96,0.14,1.09,0.14,0.14,1.23,0,0,0.14,0.14,0,0,0,0,0,0.27
