stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0,0.85,0.28,0,0,1.13,0,0.28,0,0,0
21Day,0.37,0.37,0,1.48,0.37,0,0,0.37,0,0,0,0,0,2.59,0,0,0,1.48,0.37,0.37,0,0,0
3Month,0,0,0.1,0.83,0,0.1,0.21,0,0.94,0.1,0.31,0,0.31,11.13,0.31,0.1,0.1,0,0,0,1.35,0.1,0.52
22Month,0,0,0,0.14,0,0,0,0.14,0.68,0,0.41,0,0,1.64,0,0,0,0,0,0,0.14,0,0.14
