stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Hatching_gland,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Retinal_pigment_epithelial_cell
24hpf,5,2,8,0,1,1,8,2,16,5,86,0,0,0
72hpf,0.28,0,1.41,0.28,0,0,16.07,0,0.85,1.69,1.13,0,1.13,0.28
22Month,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0
