stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Neurosecretory_cell,Oocyte,Primordial_germ_cell,Spermatocyte,T_cell
3Month,0,0.62,0.1,0,0,0.31,0.1,0.1,0.1,0,0.1,0.42,0
22Month,0.14,0,0,0.14,0.68,0,0,0,0.14,1.37,0,0,0.14
