stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0,1.41,1.69,0,0,0,0
21Day,0,0,0.74,0,0,0,0,0,0,0,0.37,2.22,0.37,0,1.11,0.37,0,0,0,0.37
3Month,0,0,0.1,0,0,0,0.21,0,0,0,0,0.1,0,0.1,0,0,0,0,0.1,0
22Month,0,0.14,0.96,0.14,0.14,8.06,3.69,1.5,0.55,0.14,0.27,3.42,0.68,0,0,0,0.14,0.14,0,5.19
