stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,13,2,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0.37,0,0,0
3Month,0,0,3.22,0.1,0,0,0.1,0.1,0.31,0.42,0.21,0.21,0,0,0.1,0,0,0,0.1,0,0
22Month,0,0,1.78,0,0.14,0.14,1.23,0,0.14,0.14,0,0,0.41,0,0.14,0.14,0,0,0,0,0.27
