stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Radial_glia,Spermatocyte,T_cell
72hpf,3.66,0.28,0,0,0,0,0.28,0,0.56,0,0,0.28,0,0
21Day,1.11,0,0,0,0,0.37,0.74,0,0.37,0,0,0,0,0.37
3Month,0,0.21,0.1,0.1,0.1,0.1,0,0.1,0,0.1,0,0,0.1,0.21
22Month,0,0,0.96,0.14,0.27,0,0.14,0,0,0,0.14,0,0,0
