stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,5,3,0,7,0,1,0,0,0,0,0,0,0,0,2,4,2,20,0,1,0,14,757,0,0,2,0,0,0,0,0,0,0
72hpf,1.41,0.28,0,1.41,0.28,2.82,0,0,0,0,0,0,0,0,1.13,4.79,0.28,5.07,0,0,0.28,27.06,89.91,0,1.41,7.33,0,0,51.58,0,0.28,0,0
21Day,0.74,0,0,2.22,0,0,0,0,0,0,0.37,0,0.37,0.37,0,0.74,0,1.11,0,0,0.74,1.11,12.58,0.37,0,1.11,0.74,0,15.17,0.74,0,0,0
3Month,0.1,0.31,0,1.66,0,0,0,0.21,0.42,0.1,1.04,0.83,0.1,0.21,0,0.62,0.83,0.94,0.21,0.1,0.1,0.1,0.31,0,0,0,0.1,1.46,0.31,0,0,0.21,0.31
22Month,0,0.82,0.27,1.64,0,0,0.14,0.14,0.14,0.14,5.19,0.27,0.14,0.96,0.14,0.27,0.96,0.96,0,0.96,0.14,0,0.41,0.27,0.14,0,0,0.96,0.82,0,0,0,0.14
