stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
72hpf,0.85,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,1.13,0,0,0,27.9,0.85,0,1.41,0,0,0.28,0,0
21Day,0,0,0,0.74,0,1.11,0,0,0,0,0,0,0,0.37,0,0.74,0,0,0,25.16,0,0,1.11,0.74,0,0.37,0,0
3Month,0,0.21,0.1,0.62,0.1,0,0,0,1.14,0.83,0,0.52,0,0.1,0,0.42,0.1,0.1,0.1,0.52,0,0.62,0,0.1,0.21,0,3.95,0
22Month,0,0.27,0,0,0,0,0.14,0.27,4.78,0,0.14,0.27,0.14,0.14,0.27,0.14,0,0,0,0.82,0,0.55,0,0,0,0.27,0,0.14
