stage,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,0,0,0,0,2,0
72hpf,0,0,0,0,0.28,0.85,0
21Day,0,0,0,0,0,0.37,0.37
22Month,0.14,4.92,0.41,0.27,0,0,0
