stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,2.54,0.28,0,0,0,0,0,0,0,0,2.54,0,0,1.41,0.28,0.56,0,0,0.28,0,1.69,0.28,0,0.56,0,0,0,0,0,0.28,0,0,0
21Day,2.59,0.37,0,4.81,0.74,0,0.37,0,0,0,0,0,0,5.18,0,0.37,2.96,6.29,21.46,0,0,0.74,0,0.74,1.11,0,5.92,0.74,0.37,0.37,1.11,0.37,0.37,0,0,5.55
3Month,0.42,0.1,0.1,2.18,0,0,0.21,0.1,0.31,0.62,0,0.73,0.73,1.56,0.31,0.1,0.73,3.12,1.56,0.31,0,1.46,0.42,0.1,0,0.21,0,0.1,3.64,0,0,0,0,0.1,0.73,21.32
22Month,0,0,0,0.68,0,0.14,0.41,0,0.27,1.23,1.78,1.78,0.27,4.24,0.41,0,0.68,7.79,1.91,0,0.14,0.96,0,0,0.14,0.27,0,0,3.14,0.14,0,0,0,0.14,0,35.67
