stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0.28,0,0,0.56,0,0,0,0,0.28,0.85,0,0,0.28,0,0,0.28,0,0,0
21Day,0.37,0,0,2.59,0,0,0,0,0,0,0.37,0,0,0,1.11,0,0,0.37,0,0,0.37,0,0,0,0,0,0,0,0,0
3Month,0,0.21,0.42,6.03,0.31,0.52,0.42,42.86,0.52,0.1,2.7,0.42,0.94,0.83,1.56,0.62,0,0.21,0.21,0,0.21,0.1,0.1,0.21,1.25,1.04,0.1,0.83,0.52,0.52
22Month,0,0.14,0,0.27,0.14,0,0.41,29.79,0.55,0.14,0.55,0,0.55,0.55,1.09,0.14,0.41,0,0,0,0,0,0,0,0.14,0,0,0,0,0.14
