stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,T_cell
21Day,0,0,0,0.74,0,0.74,0,0,0,0,0.37,0,1.85,0,0,1.11,0,0.37,0,0.74,0,0,0,0,0.37,0,0,0,0,0.37,0,0,0,0,0
3Month,0,0.21,0.62,3.22,0.1,0,0.21,0,0.1,1.66,0.42,0,104.12,0.94,0.1,39.63,0.52,1.35,1.46,2.18,0.52,0.21,0.73,0.42,0,0,0.62,0.21,0.21,1.98,0.52,0,0,0.62,0.94
22Month,0.41,0.96,1.78,3.96,0,0,1.5,0.14,0,2.32,4.24,0.27,709.21,0.27,0.41,60.67,0.27,0.41,2.6,6.7,0.55,20.63,0.96,0,0.27,0.27,1.09,1.78,0.14,1.64,1.78,0.68,0.82,0.14,1.5
