stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0.56,0,0,0,0
21Day,0,0,0,0,0,0,0.37,0,0,0,0.37,0,0.37,0,0,0,0,0,0,0,0
3Month,0,0,0.1,0.1,0.1,0.83,0,0.21,0,0.1,0.42,0.1,0.1,0,0,0.1,0,0,0.1,0,0.1
22Month,0.14,0.27,0.27,0.14,0.27,6.15,0,0.55,0.14,0.68,0.55,0.14,0,0,0.14,0,0,0.14,0.14,0.14,0.14
