stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,10,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0.85,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0,16.35,1.41,0,1.13,0,0,0,0.28,0,0,0
21Day,1.85,0,0,1.11,0.37,0.74,0,0,0,0,0,0,0,0,0.37,0.74,2.59,0,0.74,0,16.28,0.37,0,0.74,0.37,1.48,0.74,0.37,0.37,0,0
3Month,0,0.1,0.1,0.62,0,0,0.1,0,0,0.73,0.42,0.1,0.21,0.1,0.31,0,0.52,0.1,0.1,0.21,0.31,0.1,0.1,0,0,0,4.68,0,0.1,1.25,0.1
22Month,0,0,0,0,0,0,0,0.14,0,1.64,0,0,0.27,0,0,0,0.82,0,0.14,0,0,0,0,0.14,0,0,1.23,0,0,0,0
