stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia
24hpf,1,4,5,0,0,0,2,10,0,0,3,66,0,1,0,0,0
72hpf,0,0.28,1.13,0,0,0.28,0,0.85,0.28,0,3.1,5.07,0,0.56,0.28,0,0.28
21Day,0,0,1.11,0,0.37,0,0,0.37,0,0.37,0.74,0.37,0,0,0,0,0
3Month,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
22Month,0,0,0,0.14,0,0,0,0.14,0,0,0,0,0.14,0,0,0,0
