stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0.37,0,0,0,0
3Month,0.1,0.1,1.14,0.1,0.1,0.21,0.21,0,1.14,0.1,0,0.21,0.31,0.21,0,0.21,0,0.1,0.31,0.1,0.1,0,0,0.1,0.1,0
22Month,0.55,0,0.68,0,0,0.14,0.14,0.14,2.19,0.27,0.27,0.41,0,0.14,0.14,0.14,0.14,0,0.14,0,0.41,0.14,0.14,0,0,0.41
