stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.85,0,0,0,0,0,0.28,0,0,0,0,0,0,1.13,33.26,0,0.56,0,0,0,0,3.95,1.13,0,0,0,0.56,0,0,0,0,0,0,0
21Day,1.85,0,0.37,11.84,0,0.37,0,0.37,0,0,0,0,0,0,0.74,0.37,0.37,29.23,1.11,0.74,0,0,0.37,0,1.11,0.37,0,0,0,0,0.37,0.37,0,0.37,0,0,0.74
3Month,0,1.25,3.02,51.7,0,0,0.94,0.42,0,11.13,4.68,0.1,44.52,4.06,1.25,59.6,2.81,5.3,5.72,2.5,1.04,0.21,3.43,1.98,0.31,0,1.14,0.1,0,0.21,1.04,3.85,0.31,0,1.25,1.14,14.87
22Month,0,1.23,2.19,11.07,0.14,0,0.14,0.14,0.14,5.19,6.83,0.55,29.52,3.01,0.82,28.42,0.96,1.5,6.83,2.6,0.27,1.5,1.23,0,0,0.14,0.68,0.41,0.14,0.14,0.41,1.64,0,0.14,0.27,0,3.01
