stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0.85,0.28,1.13,0,0,0,0,0,0.28,0.85,0.28,1.13,0.56,129.09,3.1,0,0,1.13,0,0,1.69,12.97,19.73,0,0
21Day,2.96,0.74,3.7,0,2.22,1.48,0,0.37,0,0.37,0.74,1.11,1.11,4.07,0,61.05,1.11,0.74,0,0.74,1.48,0,0.74,22.94,125.43,0.37,0.37
3Month,0,0,0.1,0.1,0,0,0.1,0.31,0.1,0.1,0.1,0.1,0,0,0,0.21,0,0,0,0,0,0.42,0.21,0,0,0,0
22Month,0,0,0.14,0,0,0,0.14,1.5,0,0.14,0,0,0,0.14,0,0,0,0.14,0.14,0,0.14,0.96,0,0,0,0,0
