stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell__Brain_,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia
24hpf,0,0,0,0,0,0,0,2,5,0,0,0,0
72hpf,0,0,0,0,0.56,0.28,0.56,18.88,0.56,0.28,0.56,0,0.85
21Day,0.37,0,0.37,0,0,0,0.74,8.88,0.37,0,0,0.37,0.37
22Month,0,0.14,0,0.82,0,0,0,0,0,0,0,0,0
