stage,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72hpf,0,0,0,0,0,0.28,0,0.28,0.28,0,0,0.28,0.28,0,0
21Day,0.37,0.37,0,0,0,1.11,0,0,0.37,0,0.37,0.37,0,0,0
3Month,0.1,0.21,0.1,0.62,0.1,0.31,0.1,0,0,0.1,0.1,4.68,0,10.4,0.42
