stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,34,2,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,6.48,0,0,0,0,0,2.82,0.56,0.28,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0.37,7.4,0.74,0,0,0,0,0.37,0.37,0,0,0.37,0,0,0,0.37,0,0,0,0
3Month,0,1.14,0.31,2.08,0,0,0.1,0.1,0.73,6.55,0.21,0,10.92,26.32,0.21,1.66,0.31,1.46,40.88,3.22,1.46,0.21,0.31,0.31,0.1,0,0.52,0.1,0.31,0.62,0.21,0.83,0,0,0.31,0.31,2.7
22Month,0.27,0.96,0,2.05,0,0.27,0,0,0.14,10.52,0.27,0,15.3,6.7,0.14,0.41,0.14,0.55,19.54,3.42,0.27,1.5,0.41,0,0.14,0,0.14,0,0,0.82,0,0.27,0.68,0.14,0,0,2.05
