stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,0,7,1,0,0,0,0,0,0,0,0,0,0,2,9,7,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0.56,0,1.41,0.28,0.28,0,0,0.28,0,0,0,0,0,0.85,3.38,1.13,3.66,0,0.28,0,7.61,7.33,0,3.66,0,0,1.13,0,0.28,0,0,0
21Day,2.22,0,0,4.81,0,1.11,0,0,0.37,0,0,0,1.11,0,0,1.85,0.37,4.07,0,0,0,4.44,2.96,0,1.85,0.74,0,0.74,0.37,0,0,0,0.74
3Month,0.1,0.52,0.21,5.82,0,0,0.1,0.1,2.6,0,1.56,0.42,0.1,2.6,0.83,2.29,2.5,2.5,0.42,0.42,0.42,0,0.1,0.21,0,0,1.77,0,0,0,0.31,0.1,0.42
22Month,0,0,0.14,1.23,0,0,0,0,3.69,2.05,2.6,0,0,1.09,0,0.41,1.91,1.09,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0.27
