stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,2,0,4,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,5,34,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0.85,1.41,0,1.41,0.28,0,0,0,0,0,0.28,0,0,1.41,0.28,5.07,0,0,0,17.76,11.27,0,0.85,5.07,0.56,0,5.64,0.85,0,0,0,0,0
21Day,1.85,0.37,0,6.66,0,0.37,0.37,0,0.74,0,0.37,0,0.74,2.96,1.11,12.58,0,0,1.85,12.21,7.4,0,1.11,6.66,2.22,0,2.59,0.37,1.85,0.74,0,0,0.37
3Month,0,0.73,0,1.87,0,0.21,0.52,0.1,3.54,0.21,0.1,0.83,0.31,0.62,1.04,1.66,0.21,0,0.1,0.1,0,0.31,0.1,0,0.1,0.52,0.1,0,0,0,1.04,1.87,0.21
22Month,0,2.32,0.14,0.68,0,0.27,2.19,1.23,12.85,0.27,0,2.05,0.27,0.27,1.37,0.55,0,0.14,0,0,0,0.27,0.14,0,0,0,0,0,0,0,0,0,0.14
