stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.56,0,0,0,0,0,0,0,0.85,0,0,6.2,3.1,0,0,0.28,0,1.69,1.41,0.28,0.56,0,0,0,0.56,0,0.28,0,0,0
21Day,0.74,0,3.7,0.74,0,0.37,0,1.11,0,0,0.37,6.29,0,1.11,5.92,12.58,0.37,0,0,0,0.37,0.74,0,0.74,0.74,0,0,0,0.74,0.37,0,0,1.11
3Month,0.52,0.62,7.07,0,0.1,0.42,2.39,6.03,0,4.47,15.29,1.04,7.91,0.94,0.62,16.95,0.62,0,1.25,0.21,0.21,0.1,0.31,0,0.52,0.1,5.41,0.1,0,0.31,0.1,1.77,4.47
22Month,0.82,1.64,4.1,0,0.14,0.14,1.23,23.23,0.55,7.24,5.74,1.91,10.25,0.41,0.14,15.85,0.41,0.41,0.14,0,0,0,0.14,0,0,0,4.78,0,0,0,0,0,2.73
