stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,3,1,0,0,0,0,0,0,0,0,2,1,7,15,0,0,0,3,78,0,0,1,0,0,0
72hpf,0.28,0.28,0,0.28,0,0.28,0,0,0,0,0,0.28,0,0,1.13,0,1.41,0,0,0,1.69,6.48,0,0,0.28,0,0,0
21Day,0.37,0,0,1.11,0,3.7,0,2.22,0,0,0,0,0,0,0,0,4.81,0,0,0,0.37,1.48,0,0,1.11,0,0,0
3Month,0,0,0.1,1.04,0.1,0,0,0.1,0.21,0.1,0.62,0,0.52,0,0.42,0.31,0.1,0.1,0,0.1,0,0,0.21,0,0,0.1,8.95,3.95
22Month,0,0,0,0.41,0,0,0.14,0,0.27,0.82,0,0.27,0.27,0,0,0.27,0,0,0.14,0,0,0,0,0.14,0,0,0.55,0
