stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0
72hpf,0.28,0.28,0,0.85,0,0,0,0,0,0,0,0,0,4.23,0,0,0,0.28,0,0,0,0,0,0,0
21Day,0,0,0,4.44,0.37,0,0,0.74,0,0.37,0,0.37,0,3.33,1.48,0,0,0,0,0,0.37,0,0,0,1.11
3Month,0,0,0.1,1.25,0,0,0.1,0.62,0,0.1,1.35,0.1,0.21,0.31,0.52,0,0.1,0,0,0.1,0,0.31,0.1,0.1,1.87
22Month,0,0.14,0,0.41,0,0.14,0,1.37,0.14,0.68,0.14,0,0.14,0,0.41,0.14,0,0,0,0,0,0,0,0,0.68
