stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,5,0,0,0,1,23,1,0,1,0,0,0,0,0
72hpf,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0.28,0.85,0,0.85,0,0,0,0.85,0.28,0,0,0.28,0,0.28,0,0,0
21Day,0,0,3.7,0,0.74,0,0,0,0,0.37,0,1.11,0,0.37,1.85,0,3.33,0,0.74,0,0,0.37,0,0,0.37,0.37,0,0,0,0.37
3Month,0,0.1,0.73,0.1,0.1,0,0.1,0.42,0,1.25,0,0.31,0.1,0.1,0.62,0.21,0.21,0,0,0.31,0,0,0.1,0.1,0,0,0,0.21,0.1,0.21
22Month,0,0.55,0.82,0,0,0.14,0,1.78,0.82,3.55,0.14,0,1.09,0,0.14,1.91,0.27,0.14,0,0,0,0,0.14,0,0,0,0,0.14,0,0.55
