stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,14,0,0,1,0,0,0,0,1,12,0,3,0,6,86,0,0,0,2,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,1.97,2.82,0,0,0,0,0,0,0
21Day,0.37,0,0,0,0,0,0,0,0,0,0,0.37,0.37,0,0,1.85,0.37,0.37,0,0.74,0,0,0,0.74
3Month,0,0.31,0.21,0.1,0,0,0.52,0.42,0,0.21,0,0.21,0.1,0.21,0.1,0.1,0,0.1,0.31,0,0,0.1,0.1,0.1
22Month,0,0,0.14,0.55,0.14,0,2.05,0.14,0.14,0.27,0,0.14,0.27,0.14,0,0.14,0,0,0.27,0,0,0,0,0.14
