stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,26,3,0,0,0,0,0,0,0,0,0,0,2,1,4,0,0,0,3,275,0,0,0,0,0,0,0,0,0,18,0,0,0
72hpf,2.82,0.28,0,5.64,3.66,1.41,0,0,0,0,0,0,0,0,0.56,7.33,0,1.97,0,0.28,0,122.6,49.04,0,0,0,3.38,0.85,0,18.32,3.38,0,19.17,0,0,0
21Day,0,0,0.74,3.33,0.74,0.74,0,0,0,0,0.37,0,0.74,0.37,1.11,1.11,0.37,2.22,0,0,0,50.69,17.39,0,0,0,1.48,0.37,0,6.29,0.37,1.48,1.11,0,0,0.74
3Month,0,0.31,0.1,14.56,0.52,0,0.1,0.1,0.21,0,1.98,0.62,0.1,1.04,0.83,1.87,1.25,0.62,0.62,0,0.31,1.46,1.46,0.21,0.1,0,0,0.1,1.56,0.62,0.31,0,3.12,0.42,1.04,0.52
22Month,0,0.82,0,13.25,0,0,0.27,0,0.14,0.27,4.78,0.14,0.27,0.55,0.41,0.68,0.82,1.78,0,0.14,0,0.68,1.37,0.27,0.14,0.27,0,0,1.37,0.82,0.27,0,1.78,0.27,0,0.27
