stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.97,0,0,1.69,0,0.56,0,0,0,0,0,0,1.13,1.41,0.28,1.41,0,0,0,3.95,1.69,0,0,0.28,0,0,0.28,0,0,0,0,0
21Day,2.96,0,0,3.7,0.37,0,0,0,0,0,0,0.37,0,2.59,0.37,1.11,0,0,0,2.22,0.74,0,0,0.74,0.37,0,0,0.37,0,0,0,0
3Month,0.1,0.83,0.21,5.41,0,0,0.42,0.21,5.1,0.21,0,0.83,0.42,1.14,0.1,1.04,0.31,0.83,0.31,0.21,0,0.31,0.42,0,0,0.1,0,0,0.1,1.35,0.42,0.21
22Month,0,0.27,0.14,0.41,0,0,0.14,0,0.96,0,0.14,0.27,0.14,0,0.27,0.68,0,0.14,0,0,0,0.14,0,0.14,0,0.41,0,0,0,0.14,0,0
