stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,3,20,0,0,0,0,0,0,0,0,2,0,0,0
72hpf,0.28,0,0,0.85,0,0.56,0,0,0,0,0,0,0,0,0,0.56,2.82,0,1.69,0,0,5.92,5.64,0,0.28,1.13,0,0,1.41,0.56,0,0.56,0,0,0
21Day,0,0.37,0,6.29,0.37,2.59,2.59,0,0,0.74,0,0,0,0.74,0.74,1.11,3.7,1.11,6.29,0,0.74,8.51,6.66,0,0,4.07,0.37,0,1.48,0.37,1.11,0.37,0,0,0.37
3Month,0,0.42,0,2.6,0,0,0,0.1,0.42,0.73,0,5.82,0.42,0,1.35,0.21,0.73,0.52,0.83,0.1,0.21,0.1,0.1,0,0,0,0.52,0.42,0.1,0,0,0,0.1,0.21,0.42
22Month,0.14,0.27,0.27,1.37,0,0,0.14,0,0.41,1.09,0.55,14.76,0.41,0,1.64,0,0.14,1.09,1.09,0,0.14,0,0.14,0.14,0,0,0,0.14,0,0.55,0,0,0,0,0.14
