stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
21Day,0.37,0,0.37,0.37,0.74,0,0,0,0,0.37,0,0,0,0,5.18,1.11,4.07,0.74,0,1.11,0.37,0
3Month,0,0.1,0,0.94,0,0.1,0.21,0.21,0.1,0,0.1,0.21,0.1,0,0.1,0,3.74,0,0,0.73,0,0.21
22Month,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0.14,0,0.14,0,0,0
